species,seed_dry_mass_mg,SLA_mm2_mg.1,height_m
Salvia plebeia,0.47034049104977155,21.206240542186386,0.43961569319173
Isodon inflexus,0.8,20.722193042533075,1.5
Isodon excisus,0.5168907028795272,19.94057973418977,1.5
Isodon japonicus,0.4118594961394324,20.601388170101714,1.035013926017913
Elsholtzia ciliata,0.21499999999999997,21.96690425798157,0.375
Elsholtzia splendens,0.29999999999999993,21.80955475531449,0.5291719344690305
Mosla dianthera,0.2948,21.80955475531449,0.5291719344690305
Mosla punctulata,0.28085796866504703,21.80955475531449,0.5291719344690305
Ajuga spectabilis,0.22463643019632223,20.76453094882335,1.0185535215740948
Ajuga decumbens,0.22463643019632223,20.76453094882335,1.0185535215740948
Lamium amplexicaule,0.570768761111111,22.666,0.196428571428571
Leonurus macranthus,0.48659673811283033,21.73292998143806,0.45581237082234954
Leonurus japonicus,0.934346666666667,21.148079650537294,1
Phlomis umbrosa,0.4118594961394324,20.601388170101714,1.035013926017913
Stachys japonica,0.22463643019632223,20.701322649204492,1.0143369395291075
Scutellaria insignis,0.22463643019632223,20.701322649204492,1.0143369395291075
Scutellaria strigillosa,0.22463643019632223,20.701322649204492,1.0143369395291075
Scutellaria indica,0.14,20.98404428555153,1.0146011198490312
Pedicularis resupinata,0.24977582802248066,22.50313103109647,0.3631233797260017
Phtheirospermum japonicum,0.24977582802248066,22.50313103109647,0.3631233797260017
Melampyrum setaceum,0.24977582802248066,22.50313103109647,0.3631233797260017
Melampyrum roseum,0.25023569384007166,22.622414611401943,0.20000000000000004
Mazus pumilus,0.24907897005295543,22.50313103109647,0.3642235882799724
Strobilanthes oliganthus,0.3288819487143279,22.826362930270985,0.37348060247083437
Justicia procumbens,0.3288819487143279,22.826362930270985,0.37348060247083437
Tripora divaricata,0.3288819487143279,23.107143975894804,0.3604301601793821
Scrophularia takesimensis,0.3854900757827628,27.3741629615945,0.2872240694945424
Scrophularia koraiensis,0.3854900757827628,27.3741629615945,0.2872240694945424
Scrophularia kakudensis,0.3854900757827628,27.3741629615945,0.2872240694945424
Plantago asiatica,0.605,26.9519027019393,0.053494445000000015
Trigonotis icumae,0.567049569056101,26.930281170174425,0.526292318911843
Trigonotis peduncularis,0.567049569056101,26.930281170174425,0.526292318911843
Brachybotrys paridiformis,0.567049569056101,26.981151362543983,0.5200920942425791
Lithospermum zollingeri,0.5505663967634545,26.848412654465186,0.5392714956699332
Lithospermum erythrorhizon,0.5505663967634545,26.848412654465186,0.5392714956699332
Galium maximowiczii,0.5176680749205377,27.93835552872948,0.7158075741415716
Galium koreanum,0.2368,28.293369021421977,0.6350015099001417
Galium spurium,2.11803555555556,28.68073564895763,0.588888888888889
Galium paradoxum,0.35909954151952367,28.115323133660713,0.6791997330160693
Galium kinuta,0.35574689145666943,28.115323133660713,0.6631018808736632
Galium trachyspermum,0.2368,28.293369021421977,0.6350015099001417
Galium dahuricum,0.30534399298933707,28.37468079429047,0.6548684881871838
Galium pogonanthum,0.2368,28.293369021421977,0.6350015099001417
Galium trifloriforme,0.4332920824319844,28.183878592879882,0.6849038389372982
Galium kamtschaticum,0.443152438885616,28.115323133660713,0.6757616882204848
Galium trifidum,0.443152438885616,28.115323133660713,0.6757616882204848
Galium odoratum,0.443152438885616,28.115323133660713,0.6757616882204848
Asperula lasiantha,0.9170685523461181,27.02285789706728,1.0227576770133808
Asperula odorata,0.9170685523461181,27.02285789706728,1.0227576770133808
Asperula maximowiczii,0.9170685523461181,27.02285789706728,1.0227576770133808
Rubia hexaphylla,0.6837843772529991,26.81692330102971,1.1886182950030708
Rubia pubescens,0.6837843772529991,26.81692330102971,1.1886182950030708
Rubia chinensis,0.6837843772529991,26.81692330102971,1.1886182950030708
Rubia akane,0.6837843772529991,26.81692330102971,1.1886182950030708
Rubia cordifolia,4.1,26.645704301031444,1.5
Rubia argyi,0.6837843772529991,26.81692330102971,1.1886182950030708
Mitchella undulata,0.2102704542921358,26.86036635254857,1.103364770053531
Cynanchum atratum,0.23848433992694384,26.73695085309739,1.1761666198977414
Cynanchum amplexicaule,0.23848433992694384,26.73695085309739,1.1761666198977414
Cynanchum ascyrifolium,0.23848433992694384,26.73695085309739,1.1761666198977414
Cynanchum paniculatum,0.23848433992694384,26.73695085309739,1.1761666198977414
Metaplexis japonica,0.514824911966223,26.003303400644363,2
Cynanchum wilfordii,0.23848433992694384,26.73695085309739,1.1761666198977414
Marsdenia tomentosa,0.2231632303940347,26.86036635254857,1.103364770053531
Swertia japonica,0.22477211982384085,26.73695085309739,1.1761666198977414
Swertia squarrosa,0.22477211982384085,26.73695085309739,1.1761666198977414
Swertia pseudochensis,0.04000000000000001,26.782991887167945,1.0470162962145952
Swertia scabra,0.22477211982384085,26.73695085309739,1.1761666198977414
Gentiana zollingeri,0.22258235617553163,26.73695085309739,1.1522361387227662
Gentiana squarrosa,0.22258235617553163,26.73695085309739,1.1522361387227662
Gentiana triflora,0.22258235617553163,26.73695085309739,1.1522361387227662
Gentiana scabra,0.22258235617553163,26.73695085309739,1.1522361387227662
Tripterospermum japonicum,0.2427633285076717,26.9631860157987,1.0147696063169254
Solanum lyratum,0.94,26.625955063127545,1.0397879377608559
Scopolia japonica,0.37672866602605876,27.015418495052387,0.9691168556737436
Calystegia hederacea,0.37672866602605876,27.015418495052387,0.9919790964626778
Cuscuta australis,0.37672866602605876,27.015418495052387,0.9919790964626778
Cuscuta japonica,0.37672866602605876,27.015418495052387,0.9919790964626778
Pyrola japonica,0.004662200000000001,29.800042764690456,0.15
Chimaphila japonica,0.052741657816628165,29.704706056985057,0.2426507607020521
Monotropa uniflora,0.052741657816628165,29.704706056985057,0.2426507607020521
Primula sieboldii,0.17473282255143915,30.87955399526176,0.31358825284897784
Androsace umbellata,0.17473282255143915,30.87955399526176,0.31358825284897784
Lysimachia barystachys,0.17473282255143915,30.87955399526176,0.31358825284897784
Lysimachia japonica,0.17473282255143915,30.87955399526176,0.31358825284897784
Lysimachia clethroides,0.30996,30.624535209335765,0.4
Lysimachia davurica,0.17473282255143915,30.87955399526176,0.31358825284897784
Impatiens textori,5.03,30.629064177990116,0.36549495791359804
Impatiens noli-tangere,1.221172011013688,29.618187470922653,0.3269367352388091
Impatiens textorii,1.221172011013688,29.618187470922653,0.3269367352388091
Kirengeshoma koreana,0.5147819061301535,29.05098366103438,0.37116356059171174
Tetragonia tetragonoides,0.6436714797062044,28.22566261523744,0.37530049328572035
Lychnis cognata,0.994930876608719,27.95395169646875,0.42745372504257617
Silene firma,0.2512,33.92595460967228,0.8
Pseudostellaria davidii,0.4108994317352147,34.079323734522625,0.6810081816326077
Silene seoulensis,0.4546327192701057,29.728494432163863,0.5841487304913033
Silene baccifera,0.22338342123028682,27.752243402485252,0.37626697925569175
Dianthus chinensis,0.22302055894309464,28.0509711736671,0.36541920256484267
Gypsophila oldhamiana,0.22302055894309464,28.0509711736671,0.36541920256484267
Arenaria serpyllifolia,0.07129121951219511,21.4630419824555,0.143857142857143
Stellaria aquatica,0.18968571428571404,49.49999999999999,0.47812499999999997
Pseudostellaria coreana,0.44657793286823194,35.03633330415107,0.5702379473851124
Pseudostellaria setulosa,0.44657793286823194,35.03633330415107,0.5702379473851124
Pseudostellaria palibiniana,0.44657793286823194,35.03633330415107,0.5702379473851124
Pseudostellaria monantha,0.44657793286823194,35.03633330415107,0.5702379473851124
Pseudostellaria heterophylla,0.44657793286823194,35.03633330415107,0.5702379473851124
Chenopodium album,0.697120179452055,27.430496680423193,0.471608843537415
Achyranthes japonica,2.03,29.46333059961608,0.47941116866071903
Rumex acetosa,0.8755216062679747,28.024223358268433,0.43991065500756815
Polygonum viscosum,3.0761857399651524,36.12334661873131,0.6541622435558163
Polygonum muricatum,3.243262320874672,36.39687372808351,0.6513900887323718
Polygonum viscoferum,3.0874812164737833,35.57969326899008,0.6758938367064828
Polygonum dissitiflorum,4.362313226759399,36.49259360262684,0.6653920846383409
Polygonum pubescens,2.899357370684519,35.754654506823606,0.623536634177847
Polygonum perfoliatum,19.6417333333333,34.227235800865955,0.7010514553884439
Polygonum praetermissum,3.6937119314625644,36.33578427501406,0.6351182113867749
Polygonum japonicum,3.5645288218964795,35.363098297938265,0.6481193328815943
Polygonum posumbu,1.5,34.14934970321146,0.6251172654861119
Polygonum nepalense,4.588013188062563,36.10062280241033,0.6477676279021677
Polygonum filiforme,2.08,35.32120525325633,0.6153229701381832
Polygonum lapathifolium,4.040740610066039,36.599466401242815,0.6443430020520586
Polygonum thunbergii,7.2292,41.84100418410039,0.6
Polygonum senticosum,4.373176838661935,35.55304150692574,0.6750057413350224
Polygonum aviculare,1.64361750689655,22.5531145793896,0.438972602739726
Fallopia ciliinervis,1.60615012848979,31.918919237027122,0.936289628713435
Fallopia japonica,1.60615012848979,31.918919237027122,0.936289628713435
Fallopia dentatoalata,1.956033770373444,32.10006712482304,0.9886764251055408
Fallopia dumetorum,3.16802857142857,31.231999999999996,1.90454545454545
Persicaria conspicua,2.9548116854221687,37.65683165121168,0.6456760714348311
Persicaria praetermissa,2.9548116854221687,37.65683165121168,0.6456760714348311
Persicaria muricata,2.9548116854221687,37.65683165121168,0.6456760714348311
Persicaria filiformis,2.08,37.12394157559263,0.6424067007513812
Polygonum longisetum,1.33,36.792187990836425,0.6306034112674855
Persicaria longiseta,1.33,36.792187990836425,0.6306034112674855
Persicaria posumbu,1.3977708422475177,36.792187990836425,0.6306034112674855
Polygonum hydropiper,1.9904,39.69987373737371,0.67680785923871
Persicaria hydropiper,1.9904,39.69987373737371,0.67680785923871
Persicaria maculosa,2.2164802179800196,38.823717591086734,0.6666818321959723
Persicaria lapathifolia,2.9277579895798875,38.62508275743871,0.674355701551869
Persicaria viscosa,3.04254307439064,37.47534739572575,0.6862862083019695
Persicaria hastatosagittata,3.04254307439064,37.47534739572575,0.6862862083019695
Persicaria thunbergii,3.04254307439064,37.47534739572575,0.6862862083019695
Persicaria dissitiflora,3.04254307439064,37.47534739572575,0.6862862083019695
Persicaria senticosa,3.04254307439064,37.47534739572575,0.6862862083019695
Polygonum sagittatum,3.17026280193237,37.01146722103899,0.752047058823529
Persicaria perfoliata,2.9277579895798875,38.62508275743871,0.674355701551869
Persicaria nepalensis,4.081664748885801,35.59096927985789,0.6434393970982851
Vicia anguste-pinnata,7.516470181057559,36.53653269886438,0.2720896532977329
Vicia chosenensis,7.516470181057559,36.53653269886438,0.2720896532977329
Vicia sativa,17.46536740218401,35.74176515463498,0.28146426214422376
Vicia venosa,8.323984532057375,37.983224112637615,0.2605163543405668
Vicia nipponica,8.323984532057375,37.983224112637615,0.2605163543405668
Vicia unijuga,8.87,41.719792819999995,0.261596124334975
Vicia amoena,24.284146743983175,34.61623432206656,0.3217947657271514
Vicia cracca,14.114300916233821,35.9557203214074,0.2709728255792003
Lathyrus davidii,7.4668959700228585,36.391866379869775,0.2415949546281303
Astragalus membranaceus,6.728820979068652,36.46766473073999,0.2757284228714122
Glycine soja,172.44612833610503,32.87272393516359,0.22958
Dumasia truncata,18.97348728491351,35.67519730270418,0.2821051004015646
Desmodium oldhamii,3.5466921235125035,35.36265592808747,0.26128500507354274
Desmodium podocarpum,3.0086950275178297,20.909855029051815,0.45730249416372043
Hylodesmum podocarpum,3.0086950275178297,20.909855029051815,0.45730249416372043
Hylodesmum oldhamii,3.484113599016682,31.603744786215923,0.2891217738608249
Lespedeza davurica,7.07,16.7186492836933,0.6527452805879493
Lespedeza cuneata,1.6565,21.976623159407698,0.580535294117647
Lespedeza pilosa,2.204050815597937,18.171005134832576,0.4761494153727962
Lespedeza tomentosa,1.86,14.484745760000003,0.5988154222240664
Kummerowia striata,1.99622299008032,34.77089699,0.18288
Rhynchosia acuminatifolia,7.270672507291122,36.71314005214764,0.24104614041142228
Rhynchosia volubilis,7.270672507291122,36.71314005214764,0.24104614041142228
Dunbaria villosa,7.556768370378494,36.391866379869775,0.2415949546281303
Aeschynomene indica,7.664095384615381,23.020879291068063,1.4
Sophora flavescens,35.03999999999999,16.41191648,5.000000000000001
Chamaecrista nomame,4.401502306898814,26.03852158166474,0.748144815127085
Polygala tenuifolia,2.703483480971178,30.96965074448401,0.47564596135221093
Polygala japonica,2.703483480971178,30.96965074448401,0.47564596135221093
Duchesnea chrysantha,4.8471906350653065,36.06555633856985,0.26090699673260653
Duchesnea indica,4.8471906350653065,36.06555633856985,0.26090699673260653
Potentilla supina,0.19370814328602107,19.210311345784262,0.113314295333255
Potentilla kleiniana,0.19370814328602107,19.210311345784262,0.113314295333255
